Employment,Country,AISearchDevAdmired
"Employed, full-time",Sweden,NA
"Employed, full-time",United States of America,ChatGPT;Visual Studio Intellicode
"Employed, full-time",United States of America,ChatGPT;Perplexity AI
"Employed, full-time",France,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;GitHub Copilot;Google Gemini
"Employed, full-time;Student, full-time;Not employed, but looking for work",Nicaragua,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",Belgium,ChatGPT;Claude
"Employed, full-time",United States of America,ChatGPT;OpenAI Codex;Visual Studio Intellicode
"Employed, full-time;Student, part-time",Argentina,NA
"Employed, full-time",Ukraine,NA
"Independent contractor, freelancer, or self-employed",France,GitHub Copilot
"Student, part-time;Employed, part-time",Germany,NA
"Employed, full-time",Argentina,NA
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",United States of America,Bing AI;GitHub Copilot
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",Sweden,NA
"Employed, full-time",India,ChatGPT;Phind;Whispr AI
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Student, part-time;Employed, part-time",Denmark,GitHub Copilot
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Employed, part-time",Ukraine,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, part-time",Colombia,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Spain,Perplexity AI
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",India,NA
"Independent contractor, freelancer, or self-employed;Student, part-time",Germany,NA
I prefer not to say,United States of America,NA
"Student, full-time",India,Google Gemini;Visual Studio Intellicode
"Employed, full-time",Greece,NA
"Student, full-time",Germany,NA
"Student, full-time",Russian Federation,ChatGPT
"Student, full-time",Nicaragua,ChatGPT;You.com
"Employed, full-time;Independent contractor, freelancer, or self-employed",Portugal,NA
"Employed, full-time",Ukraine,ChatGPT;You.com
"Student, full-time",Nicaragua,Bing AI;ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;GitHub Copilot
"Not employed, but looking for work",Serbia,NA
"Employed, full-time",Germany,NA
"Employed, full-time",Canada,NA
"Employed, full-time",France,NA
"Student, full-time",Canada,Claude;Google Gemini;Tabnine
"Employed, full-time",Poland,ChatGPT;Google Gemini
I prefer not to say,United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,GitHub Copilot
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,Visual Studio Intellicode
"Employed, full-time;Student, part-time",Uganda,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time;Student, full-time",Canada,WolframAlpha
"Independent contractor, freelancer, or self-employed",Ukraine,NA
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",France,NA
"Student, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Poland,ChatGPT
"Employed, part-time",United States of America,ChatGPT
"Not employed, but looking for work",Sri Lanka,NA
"Student, full-time",Bangladesh,ChatGPT;Phind
"Employed, full-time",Ukraine,ChatGPT;Google Gemini
"Student, full-time;Employed, part-time",Finland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Germany,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Mexico,ChatGPT;Visual Studio Intellicode
"Student, part-time",Germany,NA
"Employed, full-time",Japan,NA
"Independent contractor, freelancer, or self-employed",Germany,GitHub Copilot
"Independent contractor, freelancer, or self-employed",Ukraine,NA
"Not employed, but looking for work",Afghanistan,ChatGPT
"Student, part-time;Employed, part-time",United States of America,NA
"Employed, full-time",Canada,NA
"Not employed, but looking for work",Ukraine,ChatGPT
"Employed, full-time",Mexico,Bing AI;Google Gemini;Tabnine;You.com
"Employed, full-time",Ukraine,GitHub Copilot
"Student, full-time",Italy,Bing AI;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United States of America,NA
"Student, part-time;Employed, part-time",Israel,NA
"Independent contractor, freelancer, or self-employed",South Africa,ChatGPT;GitHub Copilot
"Student, part-time",India,NA
"Independent contractor, freelancer, or self-employed",Greece,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Indonesia,Bing AI;ChatGPT
"Student, full-time",United States of America,Bing AI;ChatGPT;Claude;Google Gemini;Meta AI
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, part-time",Netherlands,NA
"Employed, part-time",Germany,Bing AI;ChatGPT
"Employed, full-time",Switzerland,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Ukraine,ChatGPT;Claude;Codeium;Google Gemini
"Employed, full-time",Sweden,GitHub Copilot
"Employed, full-time",Italy,NA
"Employed, full-time",United States of America,GitHub Copilot;Google Gemini
"Employed, full-time",Ukraine,NA
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Georgia,ChatGPT;Google Gemini
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",India,Bing AI;ChatGPT;Claude;Google Gemini;Phind
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Independent contractor, freelancer, or self-employed",Czech Republic,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Czech Republic,ChatGPT;Google Gemini
"Employed, part-time",Ghana,Perplexity AI
"Not employed, but looking for work",Bulgaria,Codeium;Google Gemini
"Employed, full-time",Portugal,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Bulgaria,NA
"Employed, full-time",Canada,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Russian Federation,Bing AI;ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Italy,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Russian Federation,ChatGPT;WolframAlpha
"Not employed, but looking for work",India,Bing AI;ChatGPT;Claude;Cody;GitHub Copilot;Phind;WolframAlpha;Visual Studio Intellicode;You.com
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time;Student, full-time",Ukraine,ChatGPT
"Employed, full-time",Colombia,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Student, full-time;Not employed, but looking for work",India,ChatGPT;Codeium;Google Gemini
"Employed, full-time",United States of America,NA
"Student, part-time;Employed, part-time",Russian Federation,ChatGPT
"Employed, full-time;Student, part-time",United States of America,ChatGPT;Codeium
"Student, full-time",Poland,NA
"Independent contractor, freelancer, or self-employed;Retired",India,ChatGPT
"Employed, full-time",Canada,NA
"Employed, full-time",South Africa,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time",Belgium,ChatGPT;GitHub Copilot
"Employed, full-time",Spain,GitHub Copilot;Tabnine;Visual Studio Intellicode
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Canada,NA
"Employed, full-time",United States of America,Google Gemini
"Independent contractor, freelancer, or self-employed",Bulgaria,Amazon Q;ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Poland,Amazon Q;ChatGPT
"Employed, full-time",Poland,Phind
"Employed, full-time",Germany,NA
"Employed, full-time;Student, full-time",Ukraine,WolframAlpha
"Employed, full-time",Netherlands,Codeium
"Employed, full-time",India,ChatGPT;Claude
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",United States of America,WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Canada,NA
"Employed, full-time",Germany,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",Costa Rica,GitHub Copilot;Meta AI
"Employed, full-time",Nigeria,GitHub Copilot
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,GitHub Copilot
"Employed, full-time",Switzerland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Lithuania,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Brazil,ChatGPT;WolframAlpha
"Not employed, but looking for work",Turkey,Perplexity AI
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Student, full-time;Not employed, and not looking for work",Bulgaria,ChatGPT
"Not employed, but looking for work",United States of America,NA
"Employed, full-time",Canada,ChatGPT
"Student, full-time;Not employed, and not looking for work",France,ChatGPT;Visual Studio Intellicode
"Employed, part-time",Brazil,Bing AI;ChatGPT;You.com
"Independent contractor, freelancer, or self-employed",India,ChatGPT;Perplexity AI
"Employed, full-time",Latvia,ChatGPT
"Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",Brazil,ChatGPT;GitHub Copilot
"Student, full-time",China,NA
"Student, full-time",Nicaragua,Bing AI;ChatGPT;Google Gemini;Tabnine;Visual Studio Intellicode;You.com
"Employed, full-time;Student, full-time",Greece,NA
"Employed, full-time",Russian Federation,ChatGPT;Phind
"Employed, full-time",Ukraine,NA
"Employed, full-time",France,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Poland,NA
"Student, full-time;Employed, part-time",Israel,NA
"Employed, full-time",United States of America,NA
"Student, full-time;Not employed, but looking for work",Indonesia,GitHub Copilot
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Not employed, but looking for work;Student, part-time",Kenya,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Perplexity AI;Tabnine;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Germany,Bing AI;ChatGPT;Phind
"Not employed, but looking for work;Student, part-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;Google Gemini
"Employed, full-time",United States of America,Bing AI;ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",India,ChatGPT
"Employed, full-time",Poland,ChatGPT
"Student, full-time;Employed, part-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Student, full-time",France,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Brazil,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",France,ChatGPT
"Employed, full-time",India,ChatGPT;Google Gemini
"Employed, full-time",United States of America,NA
"Student, full-time",United States of America,NA
"Employed, full-time;Student, part-time",United States of America,ChatGPT;Google Gemini;WolframAlpha
"Employed, full-time",India,ChatGPT;Google Gemini;Perplexity AI
"Employed, full-time",Canada,NA
"Employed, full-time",Switzerland,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",India,Google Gemini
"Employed, full-time",United States of America,NA
"Student, full-time;Student, part-time",Ukraine,NA
"Student, full-time",China,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Canada,ChatGPT;Codeium
"Employed, full-time",United States of America,NA
"Employed, full-time",Ghana,ChatGPT;Google Gemini;Meta AI
"Employed, full-time",Japan,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",India,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",India,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time",India,NA
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT
"Student, full-time",India,NA
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Google Gemini
"Employed, full-time;Student, part-time",India,ChatGPT;Google Gemini;Perplexity AI
"Independent contractor, freelancer, or self-employed",Belarus,You.com
"Independent contractor, freelancer, or self-employed;Student, part-time",United States of America,ChatGPT
"Employed, full-time",Portugal,NA
"Not employed, but looking for work",Ukraine,NA
"Employed, full-time",Viet Nam,ChatGPT;Claude;GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Phind
"Employed, full-time",United States of America,ChatGPT;Claude;Perplexity AI
"Employed, full-time",Indonesia,ChatGPT;Codeium;Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",India,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode
"Student, part-time;Employed, part-time",Brazil,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Ukraine,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Sweden,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time",United States of America,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,NA
"Student, full-time;Not employed, and not looking for work",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,Tabnine
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Independent contractor, freelancer, or self-employed;Student, part-time",United States of America,GitHub Copilot;Meta AI;Perplexity AI
"Student, full-time",Thailand,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Italy,NA
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Mexico,ChatGPT
"Student, full-time;Independent contractor, freelancer, or self-employed",Egypt,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed","Iran, Islamic Republic of...",ChatGPT;Google Gemini
"Employed, full-time",Germany,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",Israel,ChatGPT;GitHub Copilot;Google Gemini
"Student, part-time;Employed, part-time",France,ChatGPT
"Employed, full-time",Ukraine,NA
"Not employed, but looking for work",Nigeria,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Denmark,NA
"Employed, full-time",India,ChatGPT;Claude
"Employed, full-time",Canada,GitHub Copilot
"Employed, full-time",Mexico,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode
"Student, full-time;Employed, part-time",Germany,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time",Poland,NA
"Employed, full-time",United States of America,Bing AI
"Employed, full-time",Brazil,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Nomadic,NA
"Student, full-time;Employed, part-time",United States of America,ChatGPT;GitHub Copilot
"Student, full-time",Iraq,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT;Claude
"Employed, full-time",Brazil,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time;Employed, part-time",Turkey,ChatGPT;Google Gemini
"Student, full-time",Italy,NA
"Student, part-time;Employed, part-time",Netherlands,NA
"Student, full-time;Employed, part-time",India,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, part-time",Switzerland,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;Google Gemini;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,Bing AI;ChatGPT;Claude;GitHub Copilot
"Employed, full-time",United States of America,NA
"Not employed, but looking for work",India,NA
"Employed, full-time",United States of America,NA
"Student, full-time",Sweden,Bing AI;ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Colombia,GitHub Copilot
"Independent contractor, freelancer, or self-employed",Morocco,ChatGPT;Codeium
"Employed, full-time",United States of America,GitHub Copilot
"Student, full-time;Not employed, but looking for work",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Student, full-time;Not employed, and not looking for work",Germany,NA
"Employed, full-time",Denmark,NA
"Employed, full-time",Poland,ChatGPT
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Russian Federation,NA
"Employed, full-time",Ukraine,Visual Studio Intellicode
"Student, part-time;Employed, part-time",Mexico,NA
"Employed, full-time",Argentina,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Italy,NA
"Student, full-time",United States of America,NA
"Employed, full-time",Ukraine,Bing AI;ChatGPT
"Employed, full-time",United States of America,GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed;Student, part-time",India,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",France,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time;Student, full-time",Canada,ChatGPT
"Employed, full-time",Netherlands,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",Norway,ChatGPT;Google Gemini;Visual Studio Intellicode
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,NA
"Employed, full-time",Spain,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Student, full-time",Republic of Moldova,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Perplexity AI
"Employed, full-time;Independent contractor, freelancer, or self-employed",Denmark,NA
"Employed, full-time;Student, full-time",Belgium,NA
"Employed, full-time;Student, part-time",Brazil,NA
"Student, full-time",Germany,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Spain,NA
"Independent contractor, freelancer, or self-employed",Switzerland,GitHub Copilot
"Student, part-time;Employed, part-time",Mexico,Bing AI;ChatGPT
"Employed, full-time",United States of America,ChatGPT;Meta AI;Whispr AI
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Canada,NA
"Employed, full-time",Austria,ChatGPT;Codeium;Meta AI;WolframAlpha
"Student, full-time;Not employed, but looking for work",Algeria,ChatGPT;Claude
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Student, part-time",Brazil,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;Claude;Codeium
"Employed, full-time",Serbia,GitHub Copilot
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Google Gemini
"Student, full-time;Not employed, and not looking for work",Serbia,NA
"Not employed, but looking for work;Student, part-time",United States of America,Claude
"Employed, full-time",United States of America,ChatGPT
"Independent contractor, freelancer, or self-employed",Indonesia,Visual Studio Intellicode
"Employed, full-time",Canada,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",India,ChatGPT;Google Gemini;Snyk Code;Tabnine
"Independent contractor, freelancer, or self-employed",Italy,NA
"Not employed, but looking for work",Russian Federation,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time;Student, part-time",Ukraine,ChatGPT
"Employed, full-time",Peru,ChatGPT;Google Gemini;Perplexity AI
"Student, full-time;Employed, part-time",Netherlands,ChatGPT;GitHub Copilot
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Morocco,NA
"Employed, full-time",Norway,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Ukraine,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, part-time",Brazil,NA
"Employed, full-time;Student, full-time",Russian Federation,ChatGPT;Claude
Retired,Germany,ChatGPT
"Employed, full-time",Australia,ChatGPT
"Student, full-time",United States of America,ChatGPT
"Employed, full-time",Ukraine,ChatGPT
"Not employed, but looking for work","Venezuela, Bolivarian Republic of...",NA
"Employed, full-time",United States of America,Amazon Q
"Employed, full-time",United States of America,ChatGPT;Snyk Code
"Employed, full-time",Canada,ChatGPT;GitHub Copilot
"Employed, full-time;Student, full-time",Russian Federation,NA
"Employed, full-time",Ukraine,ChatGPT;Perplexity AI
"Employed, full-time",United States of America,NA
"Student, full-time",Austria,Bing AI;ChatGPT
"Not employed, but looking for work",Russian Federation,NA
"Employed, full-time",Norway,GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed;Student, part-time",Algeria,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Colombia,NA
"Independent contractor, freelancer, or self-employed;Student, part-time",Ukraine,NA
"Student, full-time;Employed, part-time",Netherlands,ChatGPT
"Employed, full-time",Israel,NA
"Not employed, but looking for work",Azerbaijan,ChatGPT
"Employed, full-time",Hungary,Bing AI;ChatGPT
"Employed, full-time",Spain,NA
"Employed, full-time",Israel,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Student, full-time;Not employed, and not looking for work",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Germany,ChatGPT
"Independent contractor, freelancer, or self-employed",Italy,ChatGPT;GitHub Copilot;Meta AI
"Student, full-time",Germany,ChatGPT;Google Gemini
"Employed, full-time",Ukraine,NA
"Independent contractor, freelancer, or self-employed",Ukraine,Bing AI;ChatGPT;Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Employed, full-time",Australia,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Mexico,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",Brazil,ChatGPT
"Student, full-time;Employed, part-time",Germany,NA
"Student, full-time;Employed, part-time",United States of America,ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Perplexity AI;WolframAlpha
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",Egypt,Bing AI;ChatGPT
"Employed, full-time",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Student, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Greece,ChatGPT
"Employed, full-time",France,ChatGPT
"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Turkey,NA
"Student, part-time;Employed, part-time",Serbia,Claude;GitHub Copilot
"Employed, full-time",Italy,GitHub Copilot
"Employed, full-time",Indonesia,GitHub Copilot
"Employed, full-time",Australia,NA
"Employed, full-time",Brazil,NA
"Employed, full-time",United States of America,NA
I prefer not to say,United States of America,ChatGPT
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Not employed, but looking for work",United States of America,NA
"Student, full-time;Employed, part-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Independent contractor, freelancer, or self-employed",Morocco,NA
"Employed, full-time",Brazil,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Australia,NA
I prefer not to say,United States of America,ChatGPT
"Employed, full-time",United States of America,NA
"Not employed, but looking for work",United States of America,ChatGPT;GitHub Copilot
"Student, full-time;Independent contractor, freelancer, or self-employed",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Norway,ChatGPT;Claude;Codeium;GitHub Copilot
"Employed, full-time",Mexico,GitHub Copilot
"Student, full-time",Hungary,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Mexico,NA
"Not employed, but looking for work;Student, part-time",United States of America,NA
"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Ghana,ChatGPT
"Employed, full-time",France,ChatGPT
"Employed, full-time",Australia,GitHub Copilot
"Employed, full-time",Ukraine,NA
"Employed, full-time",Switzerland,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",Pakistan,ChatGPT;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,Bing AI;ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode
"Student, full-time",United States of America,NA
"Student, full-time;Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",Australia,GitHub Copilot
"Employed, full-time",New Zealand,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",Canada,Cody;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Australia,GitHub Copilot
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,Bing AI;ChatGPT;Codeium;GitHub Copilot;Tabnine
Retired,Australia,Claude;GitHub Copilot;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,ChatGPT;Visual Studio Intellicode
"Employed, full-time",Australia,NA
"Student, full-time",United States of America,ChatGPT
"Student, full-time;Employed, part-time",United States of America,NA
"Not employed, but looking for work",Portugal,GitHub Copilot
"Employed, full-time",United States of America,Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",Israel,NA
"Student, full-time",United States of America,NA
"Employed, full-time",Australia,NA
"Employed, full-time",Australia,NA
"Employed, full-time",Taiwan,ChatGPT;Google Gemini
"Employed, full-time",Australia,NA
"Employed, full-time",Australia,ChatGPT
